epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2241.24,1.17591,1.56843,1.16033,0.97486,0.96961,0.98895,0.6769,1.06117,0.81613,0.96235,0.00331944,0.00331944,0.070125
2,4300.43,1.09793,0.84197,1.0812,0.96821,0.96875,0.98267,0.60981,1.23605,0.84601,1.06717,0.00657045,0.00657045,0.0400427
3,15648.4,1.12344,0.83159,1.10338,0.97222,0.98438,0.98226,0.69853,0.96231,0.75198,0.99801,0.00973895,0.00973895,0.00987784
4,21524.3,1.15478,0.82424,1.13444,0.92223,0.95312,0.94879,0.58402,1.28703,0.9095,1.13139,0.00962875,0.00962875,0.00962875
5,23553.8,1.11848,0.76327,1.12438,0.98572,0.975,0.9931,0.72244,0.97072,0.61181,0.99352,0.009505,0.009505,0.009505
6,26056.7,1.11205,0.71852,1.12046,0.95969,0.96875,0.9778,0.69685,0.95704,0.63126,0.99834,0.00938125,0.00938125,0.00938125
7,40213.4,1.08511,0.6832,1.11567,0.98751,0.98828,0.99475,0.70124,1.02353,0.56643,1.02582,0.0092575,0.0092575,0.0092575
8,42326.3,1.07574,0.65746,1.1167,0.99338,0.98125,0.99128,0.6868,1.05233,0.54092,1.04637,0.00913375,0.00913375,0.00913375
9,72612.9,1.06218,0.63769,1.10799,0.99148,0.98438,0.9935,0.69692,1.03675,0.5378,1.03872,0.00901,0.00901,0.00901
10,74734,1.04536,0.61354,1.09695,0.98431,0.98005,0.98304,0.70033,1.05324,0.49987,1.02838,0.00888625,0.00888625,0.00888625
11,78196.1,1.03453,0.59437,1.09317,0.97728,0.98438,0.98846,0.7058,1.01708,0.51413,1.04108,0.0087625,0.0087625,0.0087625
12,80248,1.02723,0.58713,1.09755,0.98084,0.99375,0.99395,0.75127,0.89074,0.47965,0.98549,0.00863875,0.00863875,0.00863875
13,83350.1,1.01887,0.58078,1.08859,0.99374,0.99158,0.99425,0.74564,0.90279,0.48056,0.99105,0.008515,0.008515,0.008515
14,85419.7,0.99989,0.56887,1.07826,0.99378,0.99853,0.99406,0.73945,0.92619,0.45897,0.97747,0.00839125,0.00839125,0.00839125
15,87512.6,0.99122,0.55205,1.06922,0.98147,0.99317,0.99472,0.73566,0.91569,0.45011,0.99541,0.0082675,0.0082675,0.0082675
16,90780.9,0.97664,0.54486,1.06885,0.98639,0.9875,0.98826,0.74388,0.87183,0.46019,0.97609,0.00814375,0.00814375,0.00814375
17,92831,0.95143,0.53364,1.06439,0.99325,0.99687,0.99388,0.76808,0.88507,0.43072,0.98137,0.00802,0.00802,0.00802
18,99734,0.93128,0.52063,1.05588,0.99136,0.99062,0.99491,0.77537,0.85435,0.42557,0.96708,0.00789625,0.00789625,0.00789625
19,104144,0.90715,0.51028,1.03707,0.99347,0.99375,0.99494,0.76777,0.88458,0.41105,0.96975,0.0077725,0.0077725,0.0077725
20,107821,0.88201,0.49106,1.03322,0.99375,0.99346,0.99408,0.76458,0.88726,0.428,0.98821,0.00764875,0.00764875,0.00764875
21,109936,0.87368,0.48429,1.03327,0.99065,0.993,0.99443,0.77297,0.84984,0.4054,0.9617,0.007525,0.007525,0.007525
22,111990,0.86191,0.48232,1.02558,0.98674,0.99687,0.99421,0.79074,0.79372,0.40057,0.94361,0.00740125,0.00740125,0.00740125
23,115181,0.8637,0.47758,1.02971,0.9906,0.98778,0.98881,0.79126,0.78301,0.40068,0.94472,0.0072775,0.0072775,0.0072775
24,117507,0.84638,0.46381,1.02493,0.99552,1,0.99472,0.79231,0.81892,0.38247,0.96229,0.00715375,0.00715375,0.00715375
25,119952,0.82452,0.4543,1.01352,0.99373,0.99687,0.99484,0.79021,0.7824,0.3914,0.94999,0.00703,0.00703,0.00703
26,125156,0.82258,0.45331,1.01155,0.99328,0.99062,0.99389,0.80891,0.74819,0.37657,0.93281,0.00690625,0.00690625,0.00690625
27,127485,0.82019,0.45028,1.00617,0.99306,0.99375,0.99494,0.80953,0.79292,0.36976,0.93845,0.0067825,0.0067825,0.0067825
28,133984,0.81196,0.4445,1.00743,0.99376,0.99586,0.99472,0.81455,0.7519,0.36525,0.92959,0.00665875,0.00665875,0.00665875
29,136230,0.80935,0.44206,1.00849,0.99379,0.99996,0.99478,0.80771,0.74575,0.34834,0.93341,0.006535,0.006535,0.006535
30,138483,0.7953,0.43022,1.00408,0.99918,0.99062,0.995,0.81424,0.75344,0.36367,0.93349,0.00641125,0.00641125,0.00641125
31,140976,0.80347,0.43079,1.00636,0.99348,0.99375,0.99472,0.81058,0.74886,0.36327,0.93605,0.0062875,0.0062875,0.0062875
32,145089,0.79963,0.43132,1.00825,0.99909,0.99062,0.995,0.80536,0.78031,0.35857,0.9399,0.00616375,0.00616375,0.00616375
33,154969,0.772,0.41683,0.99028,0.98951,0.99062,0.99397,0.81676,0.72344,0.34777,0.92301,0.00604,0.00604,0.00604
