epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.038,1.4473,2.6836,1.25874,0.00333,1,0.14984,0.06307,1.0631,3.50832,1.16314,0.00326087,0.00326087,0.0706522
2,898.872,1.28666,1.3201,1.25799,0.99098,0.81944,0.98204,0.60825,1.14545,2.18218,1.23193,0.00652892,0.00652892,0.0405869
3,1334.81,1.22933,1.26456,1.20701,0.81529,0.72015,0.8445,0.4286,1.48718,2.06405,1.39743,0.00973097,0.00973097,0.0104556
4,1756.19,1.29369,1.10207,1.21316,0.92394,0.86194,0.94894,0.50584,1.59684,1.59964,1.40277,0.009703,0.009703,0.009703
5,2185.78,1.22223,1.05037,1.14226,0.87312,0.79596,0.89643,0.50863,1.40746,1.50949,1.31919,0.009604,0.009604,0.009604
6,2617.64,1.2019,0.98389,1.13764,0.9609,0.95522,0.98121,0.52006,1.5834,1.16167,1.39927,0.009505,0.009505,0.009505
7,3037.46,1.15418,0.86859,1.14128,0.97536,0.97761,0.9832,0.61364,1.29671,0.87406,1.19113,0.009406,0.009406,0.009406
8,3472.79,1.14922,0.8173,1.11884,0.99241,0.97633,0.99302,0.60478,1.27029,0.81243,1.20711,0.009307,0.009307,0.009307
9,3905.62,1.19567,0.76936,1.15119,0.97661,0.99254,0.99044,0.6196,1.25808,0.76345,1.21354,0.009208,0.009208,0.009208
10,4337.13,1.17785,0.78608,1.14553,0.97312,0.98134,0.97811,0.59816,1.28625,0.78729,1.23424,0.009109,0.009109,0.009109
11,4764.77,1.13245,0.70214,1.10335,0.984,0.98881,0.99159,0.65074,1.17712,0.71579,1.16636,0.00901,0.00901,0.00901
12,5194.27,1.1274,0.71313,1.10859,0.98142,0.99254,0.98682,0.65021,1.20593,0.72601,1.16423,0.008911,0.008911,0.008911
13,5614.07,1.15632,0.68376,1.09662,0.9767,0.98881,0.99243,0.65059,1.18806,0.63692,1.15989,0.008812,0.008812,0.008812
14,6015.57,1.1158,0.67336,1.10133,0.99251,0.98851,0.99343,0.60983,1.34877,0.6641,1.21099,0.008713,0.008713,0.008713
15,6416.94,1.07782,0.62527,1.08543,0.97808,0.98881,0.98932,0.6542,1.21606,0.63528,1.16428,0.008614,0.008614,0.008614
16,8849.72,1.12003,0.62302,1.11007,0.99132,0.99627,0.99455,0.64186,1.25936,0.63331,1.23134,0.008515,0.008515,0.008515
17,9279.11,1.10066,0.61449,1.12504,0.98667,0.98881,0.99092,0.67494,1.14843,0.5642,1.18368,0.008416,0.008416,0.008416
18,9703.91,1.06277,0.59948,1.09276,0.98514,0.98977,0.99246,0.65094,1.22483,0.59757,1.22071,0.008317,0.008317,0.008317
19,10129.6,1.09502,0.60454,1.12665,0.96022,0.99254,0.98101,0.64398,1.21013,0.64272,1.20543,0.008218,0.008218,0.008218
20,10553.6,1.06289,0.60539,1.08978,0.97776,0.98444,0.98813,0.58183,1.34816,0.64846,1.23086,0.008119,0.008119,0.008119
21,10979.1,1.08773,0.59332,1.10414,0.98162,0.9962,0.98756,0.62272,1.2769,0.58108,1.22444,0.00802,0.00802,0.00802
22,11403.2,1.09699,0.58435,1.12339,0.98403,0.98134,0.98892,0.65271,1.14603,0.59302,1.20654,0.007921,0.007921,0.007921
23,11830.8,1.0216,0.56467,1.05839,0.98417,0.99627,0.99339,0.64283,1.25593,0.55411,1.21407,0.007822,0.007822,0.007822
24,12236.1,1.06209,0.56389,1.0929,0.99098,0.99254,0.9924,0.71607,1.05807,0.48811,1.12513,0.007723,0.007723,0.007723
25,12669.4,1.07346,0.55328,1.09228,0.9848,0.99627,0.99264,0.677,1.1478,0.5397,1.19149,0.007624,0.007624,0.007624
26,13096,1.06258,0.571,1.09905,0.98156,0.99328,0.99305,0.67621,1.17934,0.57148,1.16201,0.007525,0.007525,0.007525
27,13524.5,1.06726,0.57056,1.08736,0.98692,0.98881,0.99398,0.64868,1.203,0.60748,1.1828,0.007426,0.007426,0.007426
28,13952.7,1.00469,0.54375,1.06239,0.98619,0.98507,0.98979,0.64403,1.24244,0.57737,1.18457,0.007327,0.007327,0.007327
29,14369.4,1.04472,0.54119,1.09319,0.98518,0.99227,0.98823,0.71905,1.01732,0.53886,1.10443,0.007228,0.007228,0.007228
30,14794.4,1.0217,0.57188,1.07283,0.98524,0.99614,0.99303,0.6894,1.07586,0.54291,1.13023,0.007129,0.007129,0.007129
31,15219.8,1.04947,0.53616,1.11244,0.98883,0.99134,0.99176,0.68989,1.1526,0.52322,1.2019,0.00703,0.00703,0.00703
32,15645.1,0.98505,0.53253,1.08423,0.97692,0.94768,0.98865,0.67109,1.16204,0.57077,1.17645,0.006931,0.006931,0.006931
33,16081.3,1.04326,0.56153,1.08658,0.9874,0.99627,0.99474,0.6731,1.15723,0.52904,1.15246,0.006832,0.006832,0.006832
34,16506.5,1.00694,0.53826,1.0626,0.97683,0.99254,0.99038,0.66966,1.14157,0.56496,1.13199,0.006733,0.006733,0.006733
35,16955.6,0.96829,0.52197,1.0542,0.91546,0.96977,0.97156,0.51273,1.36094,0.76129,1.23785,0.006634,0.006634,0.006634
36,17360.9,0.98193,0.51078,1.05814,0.96909,0.99254,0.99043,0.64011,1.29376,0.54432,1.25469,0.006535,0.006535,0.006535
37,17767.6,1.01344,0.52406,1.07647,0.98353,0.99627,0.99357,0.69657,1.12709,0.51316,1.15375,0.006436,0.006436,0.006436
38,18170.1,0.99999,0.53522,1.05778,0.99147,0.99254,0.99328,0.66833,1.14395,0.50801,1.14474,0.006337,0.006337,0.006337
39,18575.5,0.98889,0.53301,1.06384,0.98353,0.97015,0.98973,0.68843,1.10821,0.53413,1.14057,0.006238,0.006238,0.006238
40,18991.6,0.99537,0.53487,1.0492,0.98926,0.98881,0.99125,0.71503,1.11529,0.48418,1.16526,0.006139,0.006139,0.006139
41,19418.5,0.96914,0.51019,1.05489,0.9849,0.98881,0.99322,0.66929,1.2386,0.51606,1.21462,0.00604,0.00604,0.00604
42,19826.1,0.97903,0.51601,1.05758,0.98511,0.98765,0.99347,0.68533,1.13523,0.49158,1.14133,0.005941,0.005941,0.005941
43,20231.7,0.97291,0.50343,1.06294,0.98083,0.99254,0.99035,0.64356,1.21934,0.53768,1.16374,0.005842,0.005842,0.005842
44,20637,0.97723,0.51184,1.0505,0.9744,0.9943,0.99099,0.67297,1.10817,0.49957,1.16132,0.005743,0.005743,0.005743
45,21042.9,0.95135,0.49751,1.05348,0.98117,0.97015,0.98592,0.69885,1.08743,0.49605,1.14616,0.005644,0.005644,0.005644
46,21448.9,0.97694,0.49672,1.06574,0.99576,0.99627,0.99392,0.68852,1.15838,0.47636,1.17794,0.005545,0.005545,0.005545
47,21855.6,0.98284,0.4914,1.07357,0.98881,0.98874,0.99448,0.68964,1.10456,0.46328,1.15596,0.005446,0.005446,0.005446
48,28236.1,0.95354,0.48285,1.03066,0.98881,0.98927,0.99466,0.7203,1.0356,0.46767,1.10734,0.005347,0.005347,0.005347
49,28638.2,0.93722,0.47575,1.0338,0.95636,0.98135,0.98582,0.66842,1.07152,0.57507,1.09703,0.005248,0.005248,0.005248
50,29039,0.92172,0.48154,1.02474,0.98886,0.99341,0.99474,0.68686,1.15269,0.47376,1.15138,0.005149,0.005149,0.005149
51,29438.1,0.95161,0.48536,1.04942,0.98804,0.98507,0.99399,0.68775,1.14068,0.50741,1.14565,0.00505,0.00505,0.00505
52,29837.9,0.95296,0.49592,1.04115,0.97788,0.98975,0.99214,0.72015,1.05571,0.4575,1.10838,0.004951,0.004951,0.004951
53,44990.2,0.93699,0.48356,1.04299,0.97432,0.99094,0.99165,0.70037,1.12947,0.49365,1.14195,0.004852,0.004852,0.004852
54,45402.4,0.93663,0.47605,1.03826,0.97411,0.98288,0.99357,0.67674,1.23022,0.48913,1.2006,0.004753,0.004753,0.004753
55,45837.5,0.92695,0.47464,1.04104,0.96078,0.98134,0.98905,0.68888,1.11006,0.46969,1.14937,0.004654,0.004654,0.004654
56,46257.7,0.94349,0.4812,1.02873,0.97343,0.97761,0.99316,0.67063,1.15363,0.48696,1.14862,0.004555,0.004555,0.004555
57,46875.9,0.9574,0.47798,1.04256,0.98611,0.98507,0.99162,0.67826,1.18807,0.45378,1.19815,0.004456,0.004456,0.004456
58,47309.1,0.89455,0.4531,1.01408,0.98131,0.97977,0.99379,0.69243,1.10608,0.48488,1.13969,0.004357,0.004357,0.004357
59,47735.4,0.9054,0.45693,1.02245,0.98808,0.98507,0.99463,0.67719,1.14608,0.49594,1.13897,0.004258,0.004258,0.004258
60,48198.5,0.89864,0.45278,1.02188,0.99473,0.99627,0.99403,0.71871,1.0904,0.43552,1.12688,0.004159,0.004159,0.004159
61,48641.2,0.92933,0.45583,1.0186,0.98712,0.98507,0.99072,0.7334,1.01323,0.43069,1.09593,0.00406,0.00406,0.00406
62,50630.3,0.8791,0.45716,1.00031,0.97636,0.98881,0.99133,0.71896,1.05895,0.46921,1.11193,0.003961,0.003961,0.003961
63,51032.7,0.91597,0.45606,1.02155,0.98134,0.99627,0.99367,0.70157,1.13261,0.45928,1.15668,0.003862,0.003862,0.003862
64,51440.7,0.89041,0.45695,1.01959,0.9655,0.98134,0.99177,0.75803,0.9174,0.43898,1.0455,0.003763,0.003763,0.003763
65,51845.5,0.88823,0.4421,1.01184,0.99172,0.99627,0.99362,0.71562,1.07308,0.42179,1.10676,0.003664,0.003664,0.003664
66,52249.4,0.87758,0.44913,1.00323,0.99162,0.99627,0.99481,0.7107,1.08185,0.42137,1.11051,0.003565,0.003565,0.003565
67,52651.7,0.8678,0.43271,1.00698,0.97797,0.99405,0.99448,0.7252,1.02607,0.41242,1.07712,0.003466,0.003466,0.003466
68,53062.3,0.88831,0.42964,0.99853,0.98704,0.99627,0.99474,0.74105,1.02132,0.41491,1.086,0.003367,0.003367,0.003367
69,53484.2,0.86213,0.41884,0.9788,0.98097,0.97761,0.99245,0.72446,1.06163,0.44076,1.09267,0.003268,0.003268,0.003268
70,87611,0.85675,0.42053,0.9844,0.98149,0.99254,0.99455,0.73684,0.996,0.40742,1.06926,0.003169,0.003169,0.003169
71,88030.4,0.86642,0.42281,0.98999,0.99175,0.99254,0.99372,0.7676,0.90587,0.38998,1.03111,0.00307,0.00307,0.00307
72,88432.1,0.86934,0.44033,1.0015,0.9881,0.99627,0.99489,0.72923,1.01339,0.44966,1.08036,0.002971,0.002971,0.002971
73,88832.8,0.8614,0.42311,1.00521,0.96715,0.9888,0.99194,0.76082,0.93343,0.40855,1.05785,0.002872,0.002872,0.002872
74,89236.6,0.88473,0.43302,1.0032,0.96363,0.98875,0.99277,0.76914,0.90804,0.41166,1.04987,0.002773,0.002773,0.002773
75,89647.7,0.86172,0.40916,0.99483,0.98981,0.98881,0.99478,0.77406,0.90205,0.38167,1.02685,0.002674,0.002674,0.002674
76,90050.4,0.8687,0.42191,1.01393,0.98486,1,0.99443,0.73072,1.0331,0.42696,1.09683,0.002575,0.002575,0.002575
77,90463.9,0.83599,0.40607,0.99697,0.98519,0.99268,0.99489,0.73743,1.02015,0.4173,1.08426,0.002476,0.002476,0.002476
