epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1623.32,0.93075,1.51323,1.17828,0.97423,0.98761,0.98553,0.59858,1.2537,0.97016,1.28558,0.00331492,0.00331492,0.0701657
2,3157.55,0.80856,0.71378,1.10719,0.98153,0.98507,0.99017,0.58194,1.37433,0.80825,1.40761,0.00653855,0.00653855,0.040056
3,4722.11,0.83766,0.69346,1.12031,0.96991,0.96234,0.98545,0.56372,1.41044,0.96537,1.42859,0.00965219,0.00965219,0.00983635
4,6291.42,0.8365,0.66469,1.11571,0.97635,0.90299,0.94651,0.59513,1.285,0.89147,1.32646,0.009505,0.009505,0.009505
5,7904.78,0.81315,0.58911,1.10532,0.97336,0.99254,0.98499,0.61269,1.23204,0.60051,1.30017,0.00934,0.00934,0.00934
6,9459.52,0.79652,0.54453,1.09986,0.99254,0.99229,0.98973,0.56977,1.45092,0.65886,1.40924,0.009175,0.009175,0.009175
7,11029.1,0.76803,0.50939,1.08807,0.99479,0.99627,0.99306,0.62903,1.26051,0.5441,1.28731,0.00901,0.00901,0.00901
8,12601.1,0.76225,0.47612,1.08345,0.96992,0.99254,0.99031,0.58353,1.35472,0.61481,1.40206,0.008845,0.008845,0.008845
9,14217.6,0.75393,0.47506,1.07816,0.97426,0.98848,0.98672,0.70177,1.05044,0.54258,1.17877,0.00868,0.00868,0.00868
10,15789.3,0.75344,0.46493,1.07001,0.98882,0.99627,0.9907,0.65394,1.24497,0.55469,1.23798,0.008515,0.008515,0.008515
11,17355.6,0.71981,0.44717,1.05778,0.98576,0.98507,0.98974,0.61908,1.35823,0.5453,1.30452,0.00835,0.00835,0.00835
12,18856.7,0.70498,0.42772,1.05879,0.98991,0.99254,0.99386,0.68176,1.13586,0.49435,1.18163,0.008185,0.008185,0.008185
13,20392.3,0.69968,0.41747,1.05372,0.99074,0.98881,0.98793,0.68294,1.09807,0.4929,1.16854,0.00802,0.00802,0.00802
14,21917.1,0.69878,0.41253,1.05395,0.98881,0.98947,0.99002,0.70759,1.02881,0.45702,1.1583,0.007855,0.007855,0.007855
15,23435.2,0.68045,0.39532,1.04164,0.99176,0.99627,0.99369,0.70014,1.08368,0.46114,1.17525,0.00769,0.00769,0.00769
16,24941.7,0.68532,0.39602,1.0335,0.99626,0.99493,0.9928,0.69027,1.10693,0.47704,1.16421,0.007525,0.007525,0.007525
17,26587.4,0.66684,0.39493,1.0338,0.9772,0.98507,0.98906,0.72201,1.00952,0.51358,1.12561,0.00736,0.00736,0.00736
18,33721.2,0.65889,0.38883,1.02306,0.98369,0.99254,0.9908,0.70947,1.07033,0.48482,1.16375,0.007195,0.007195,0.007195
19,35237.3,0.65006,0.38202,1.02602,0.99549,0.99627,0.99146,0.70884,1.06089,0.45035,1.16626,0.00703,0.00703,0.00703
20,36789.5,0.65568,0.37875,1.02094,0.98782,0.99254,0.99363,0.72282,0.97682,0.46632,1.10933,0.006865,0.006865,0.006865
21,38327.5,0.63917,0.38303,1.01176,0.98875,0.98374,0.99379,0.72984,0.97563,0.4953,1.08893,0.0067,0.0067,0.0067
22,40319.6,0.6473,0.36953,1.01616,0.99251,0.98874,0.99228,0.74993,0.97804,0.42605,1.1158,0.006535,0.006535,0.006535
23,41834.1,0.63742,0.36033,1.01432,0.98127,0.97752,0.98877,0.73608,0.93293,0.45448,1.06361,0.00637,0.00637,0.00637
24,43364.2,0.62761,0.36059,1.01141,0.99203,0.99627,0.99433,0.75498,0.94538,0.44045,1.07879,0.006205,0.006205,0.006205
25,44913.9,0.62863,0.35928,1.01038,0.9872,0.99254,0.98944,0.75455,0.94064,0.43372,1.08594,0.00604,0.00604,0.00604
26,46415,0.62796,0.34751,1.00852,0.98481,0.99627,0.99389,0.74876,0.95668,0.41808,1.10163,0.005875,0.005875,0.005875
27,49512,0.61756,0.35022,1.0082,0.98154,0.99212,0.99146,0.73818,0.92137,0.45478,1.07191,0.00571,0.00571,0.00571
28,51005.8,0.61823,0.35279,1.01116,0.99248,0.99627,0.99466,0.73157,1.0157,0.4235,1.11276,0.005545,0.005545,0.005545
29,54263.2,0.59185,0.3335,0.99141,0.97856,0.98507,0.98809,0.73234,0.96236,0.45086,1.08577,0.00538,0.00538,0.00538
30,56072.9,0.58092,0.33626,0.98674,0.98201,0.99254,0.99342,0.75529,0.92852,0.42468,1.06037,0.005215,0.005215,0.005215
31,58775.6,0.5844,0.33428,0.98823,0.98835,0.98507,0.99312,0.76222,0.91274,0.3935,1.07009,0.00505,0.00505,0.00505
32,60274.4,0.58475,0.32173,0.99391,0.98731,0.99254,0.99375,0.7667,0.88164,0.39567,1.04862,0.004885,0.004885,0.004885
33,62579.6,0.58688,0.31836,0.99077,0.99513,0.99627,0.99459,0.74808,0.91509,0.40507,1.06064,0.00472,0.00472,0.00472
34,64155,0.5792,0.31536,0.99286,0.98884,0.99147,0.99283,0.75703,0.9661,0.38861,1.09114,0.004555,0.004555,0.004555
35,65685.2,0.58905,0.32519,0.99445,0.98885,0.99244,0.98987,0.75798,0.90143,0.38238,1.05952,0.00439,0.00439,0.00439
36,67197.3,0.56598,0.30884,0.98817,0.98847,0.99627,0.9947,0.76701,0.90937,0.36715,1.07153,0.004225,0.004225,0.004225
37,68775.2,0.56564,0.30297,0.97997,0.99254,0.99627,0.99439,0.78258,0.84945,0.37554,1.02853,0.00406,0.00406,0.00406
38,70360,0.56619,0.30791,0.98134,0.9906,0.99254,0.99455,0.77152,0.88954,0.3623,1.04346,0.003895,0.003895,0.003895
39,100784,0.55344,0.30073,0.97673,0.98876,0.99627,0.99466,0.7758,0.86139,0.3653,1.03323,0.00373,0.00373,0.00373
40,102395,0.5472,0.29061,0.96891,0.99251,0.99627,0.99429,0.77767,0.87132,0.36528,1.03469,0.003565,0.003565,0.003565
41,103965,0.54153,0.29161,0.96771,0.98855,0.99254,0.99455,0.78806,0.83644,0.35692,1.03155,0.0034,0.0034,0.0034
42,105548,0.54569,0.28631,0.9705,0.98818,0.99627,0.99489,0.77783,0.84146,0.35553,1.02297,0.003235,0.003235,0.003235
43,107093,0.53641,0.28591,0.96238,0.9852,0.99381,0.9947,0.78206,0.84084,0.35987,1.03834,0.00307,0.00307,0.00307
44,112341,0.52098,0.27569,0.95879,0.98869,0.99627,0.99481,0.79491,0.82813,0.33954,1.01918,0.002905,0.002905,0.002905
