epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.99,1.44495,2.55839,1.12817,0.00331,0.99342,0.14576,0.06082,1.10705,3.57571,0.99166,0.000649123,0.000649123,0.000649123
2,702.01,1.22628,1.47124,1.05108,0.93713,0.58843,0.80239,0.46305,1.28056,2.75333,1.1036,0.00128974,0.00128974,0.00128974
3,1054.61,1.20857,1.31609,1.05653,0.95465,0.96936,0.96625,0.59043,1.28516,1.57291,1.13814,0.00190395,0.00190395,0.00190395
4,1409.36,1.17539,1.08219,1.04996,0.94237,0.97368,0.96882,0.60933,1.22495,1.1212,1.11185,0.0018812,0.0018812,0.0018812
5,1757.99,1.16236,0.99997,1.04497,0.95952,0.95395,0.98236,0.60799,1.2609,1.16891,1.1463,0.0018416,0.0018416,0.0018416
6,2103.37,1.13757,0.88254,1.04193,0.93036,0.97368,0.97229,0.64507,1.14816,0.9038,1.07673,0.001802,0.001802,0.001802
7,2446.62,1.09733,0.80118,1.02861,0.94313,0.96711,0.98472,0.64265,1.17769,0.88409,1.11207,0.0017624,0.0017624,0.0017624
8,38145.2,1.09133,0.7641,1.0311,0.97384,0.97956,0.98693,0.6705,1.11614,0.79349,1.0654,0.0017228,0.0017228,0.0017228
9,38521.4,1.06721,0.72914,1.02406,0.94868,0.97291,0.97462,0.6743,1.08334,0.76294,1.08005,0.0016832,0.0016832,0.0016832
10,38906.7,1.10597,0.70512,1.03729,0.94889,0.98026,0.96326,0.64011,1.14399,0.75307,1.10063,0.0016436,0.0016436,0.0016436
11,39257.9,1.09304,0.65953,1.04309,0.9743,0.97368,0.97978,0.68986,1.07276,0.68247,1.06512,0.001604,0.001604,0.001604
12,39610,1.07199,0.67564,1.02228,0.96865,0.98026,0.98159,0.69982,1.03851,0.66333,1.03719,0.0015644,0.0015644,0.0015644
13,39961.3,1.05717,0.62807,1.01866,0.96111,0.98026,0.97722,0.69042,1.02255,0.66318,1.05393,0.0015248,0.0015248,0.0015248
14,41256.4,1.02423,0.61574,1.00606,0.98014,0.97404,0.98297,0.67488,1.09567,0.6635,1.07885,0.0014852,0.0014852,0.0014852
15,41606,1.05842,0.62415,1.02992,0.95443,0.96053,0.96151,0.67983,1.0721,0.63494,1.0921,0.0014456,0.0014456,0.0014456
16,41955,0.99467,0.57811,0.98995,0.94264,0.97368,0.96853,0.69994,1.07975,0.61538,1.12924,0.001406,0.001406,0.001406
17,45808.5,0.99779,0.58767,1.0016,0.97365,0.97221,0.97733,0.69704,1.07003,0.5994,1.09148,0.0013664,0.0013664,0.0013664
18,46182.4,1.02398,0.5568,1.01745,0.9784,0.98684,0.98747,0.68335,1.1256,0.61664,1.14163,0.0013268,0.0013268,0.0013268
19,46545.6,1.009,0.57193,1.01032,0.97256,0.98684,0.98877,0.70005,1.06695,0.57877,1.07861,0.0012872,0.0012872,0.0012872
20,46946.4,1.03332,0.56655,1.00935,0.96511,0.98026,0.97438,0.69845,1.09531,0.58188,1.12389,0.0012476,0.0012476,0.0012476
21,47301.7,1.00086,0.55176,1.00186,0.97632,0.98026,0.98478,0.70891,0.99357,0.55653,1.04665,0.001208,0.001208,0.001208
22,47643.3,1.01548,0.5441,1.00359,0.96557,0.98026,0.97082,0.71736,1.01665,0.56187,1.06034,0.0011684,0.0011684,0.0011684
23,47981.7,0.96759,0.5257,0.99778,0.9738,0.97806,0.98361,0.66087,1.14634,0.61254,1.09779,0.0011288,0.0011288,0.0011288
24,48320.4,1.00347,0.5351,0.98696,0.97118,0.98684,0.98168,0.70742,1.02534,0.55407,1.05606,0.0010892,0.0010892,0.0010892
25,48658.9,0.92469,0.5201,0.96317,0.97357,0.96922,0.97695,0.71891,1.01578,0.54439,1.06324,0.0010496,0.0010496,0.0010496
26,49130.6,0.97416,0.53015,0.98604,0.98024,0.9789,0.98468,0.72572,1.02567,0.51516,1.06004,0.00101,0.00101,0.00101
27,49471.6,1.00203,0.53541,1.01007,0.95472,0.98026,0.982,0.72836,1.00591,0.53393,1.07656,0.0009704,0.0009704,0.0009704
28,49813.2,0.93532,0.50617,0.98325,0.96604,0.98026,0.98114,0.70888,1.03542,0.51659,1.07109,0.0009308,0.0009308,0.0009308
29,50151.1,0.91674,0.48908,0.96939,0.94901,0.98026,0.98353,0.69307,1.06357,0.52301,1.08487,0.0008912,0.0008912,0.0008912
30,50508.1,0.98254,0.50445,0.9816,0.95884,0.98026,0.97954,0.73575,0.97727,0.51337,1.04437,0.0008516,0.0008516,0.0008516
31,50878.6,0.93327,0.49474,0.97147,0.96359,0.98026,0.9816,0.73045,1.03242,0.50838,1.06982,0.000812,0.000812,0.000812
32,51264.1,0.93435,0.49097,0.97321,0.98003,0.98026,0.98326,0.74902,0.98144,0.48368,1.03675,0.0007724,0.0007724,0.0007724
33,51662,0.92605,0.4869,0.97913,0.97134,0.98684,0.98016,0.7317,1.00882,0.47185,1.07239,0.0007328,0.0007328,0.0007328
34,52038.1,0.92991,0.47887,0.97094,0.9705,0.98684,0.98121,0.72557,1.01163,0.4874,1.05395,0.0006932,0.0006932,0.0006932
35,52394.7,0.92184,0.46762,0.96973,0.9788,0.98684,0.98558,0.72509,1.06405,0.46349,1.09985,0.0006536,0.0006536,0.0006536
36,52739.2,0.88444,0.44967,0.94903,0.98025,0.97954,0.97985,0.72983,1.00881,0.48177,1.04559,0.000614,0.000614,0.000614
37,53086.4,0.91103,0.46398,0.96106,0.97359,0.97023,0.97976,0.71417,1.043,0.47623,1.08474,0.0005744,0.0005744,0.0005744
38,53435.7,0.90156,0.44823,0.97302,0.97711,0.97368,0.97693,0.73987,1.02856,0.45321,1.0747,0.0005348,0.0005348,0.0005348
39,53822,0.91452,0.47257,0.9546,0.98038,0.9861,0.97764,0.70275,1.04279,0.49101,1.04635,0.0004952,0.0004952,0.0004952
40,54159.2,0.87126,0.44629,0.93849,0.97345,0.9647,0.97982,0.72567,1.01212,0.46254,1.0599,0.0004556,0.0004556,0.0004556
41,54491,0.86162,0.44158,0.94462,0.95477,0.97213,0.97575,0.7156,1.07701,0.48196,1.09675,0.000416,0.000416,0.000416
42,54820.2,0.83991,0.43186,0.93275,0.94889,0.97714,0.97218,0.72962,0.99585,0.4859,1.04388,0.0003764,0.0003764,0.0003764
43,55149.5,0.84445,0.4232,0.93772,0.96839,0.96711,0.97152,0.71321,1.03255,0.46664,1.06479,0.0003368,0.0003368,0.0003368
44,55479.4,0.81952,0.4246,0.92432,0.95452,0.96655,0.97032,0.73644,0.98586,0.48092,1.03422,0.0002972,0.0002972,0.0002972
45,56770.3,0.81668,0.40627,0.92567,0.9541,0.97368,0.97227,0.73956,0.98018,0.48762,1.03019,0.0002576,0.0002576,0.0002576
46,57124.4,0.81967,0.41424,0.92726,0.95637,0.97368,0.97921,0.73914,1.02035,0.44786,1.06845,0.000218,0.000218,0.000218
47,57490,0.79801,0.39726,0.92343,0.97169,0.98026,0.98133,0.74377,0.99792,0.46193,1.04884,0.0001784,0.0001784,0.0001784
48,57849.2,0.81341,0.39513,0.93507,0.97605,0.98026,0.98198,0.74127,0.99731,0.46067,1.0519,0.0001388,0.0001388,0.0001388
49,58202.6,0.79777,0.39379,0.92128,0.97364,0.97186,0.979,0.73884,1.01233,0.43441,1.0598,9.92e-05,9.92e-05,9.92e-05
50,58569.8,0.7834,0.38853,0.9118,0.97367,0.97306,0.98003,0.7443,1.01031,0.42897,1.05913,5.96e-05,5.96e-05,5.96e-05
